Date,Close,Volume,Open,High,Low
8/20/24,$876.20 ,1104595,$872.00 ,$876.76 ,$871.17 
8/19/24,$872.35 ,1318382,$870.59 ,$873.63 ,$868.70 
8/16/24,$870.59 ,1516332,$877.35 ,$877.35 ,$868.62 
8/15/24,$877.35 ,1923809,$872.87 ,$880.33 ,$869.00 
8/14/24,$862.71 ,1341493,$864.87 ,$866.73 ,$858.50 
8/13/24,$864.82 ,1484055,$864.92 ,$868.05 ,$856.16 
8/12/24,$863.57 ,1748173,$857.25 ,$870.25 ,$852.40 
8/9/24,$854.93 ,1710588,$838.50 ,$857.77 ,$837.63 
8/8/24,$839.43 ,2345030,$821.50 ,$842.76 ,$820.45 
8/7/24,$810.30 ,1702040,$824.11 ,$833.83 ,$809.26 
8/6/24,$816.88 ,2476255,$805.06 ,$833.09 ,$805.06 
8/5/24,$801.83 ,2820885,$798.00 ,$810.82 ,$793.00 
8/2/24,$822.08 ,2598467,$816.20 ,$830.29 ,$805.01 
8/1/24,$816.89 ,1861405,$818.55 ,$824.17 ,$809.68 
7/31/24,$822.00 ,2135049,$820.42 ,$825.48 ,$811.27 
7/30/24,$810.03 ,2017248,$818.00 ,$822.00 ,$803.28 
7/29/24,$815.56 ,1320420,$822.56 ,$823.74 ,$814.09 
7/26/24,$817.60 ,1441455,$818.00 ,$822.28 ,$809.01 
7/25/24,$815.95 ,2183740,$835.79 ,$836.65 ,$814.28 
7/24/24,$830.82 ,2511321,$844.60 ,$846.00 ,$829.50 
7/23/24,$852.11 ,1744123,$848.90 ,$854.58 ,$845.58 
7/22/24,$847.42 ,1920228,$845.75 ,$849.59 ,$838.60 
7/19/24,$838.13 ,1984385,$836.51 ,$848.88 ,$835.56 
7/18/24,$839.37 ,2338477,$849.43 ,$855.30 ,$825.11 
7/17/24,$846.28 ,1783079,$848.01 ,$849.95 ,$842.65 
7/16/24,$850.77 ,1687592,$847.80 ,$851.24 ,$841.34 
7/15/24,$848.73 ,2064036,$846.86 ,$857.90 ,$844.67 
7/12/24,$842.90 ,3288384,$849.89 ,$850.00 ,$838.38 
7/11/24,$846.59 ,6021054,$890.76 ,$890.76 ,$846.52 
7/10/24,$884.31 ,1755823,$887.40 ,$890.27 ,$880.70 
7/9/24,$886.85 ,1358498,$883.85 ,$896.67 ,$882.97 
7/8/24,$880.84 ,1611317,$886.79 ,$887.95 ,$877.66 
7/5/24,$885.67 ,2620714,$864.56 ,$886.94 ,$858.72 
7/3/24,$862.66 ,814423,$855.00 ,$863.52 ,$855.00 
7/2/24,$859.36 ,1377857,$845.69 ,$860.36 ,$843.08 
7/1/24,$845.67 ,1989003,$853.50 ,$856.00 ,$840.50 
6/28/24,$849.99 ,2131691,$851.25 ,$857.24 ,$846.81 
6/27/24,$850.62 ,1254904,$857.71 ,$858.33 ,$848.64 
6/26/24,$856.84 ,1505286,$852.72 ,$859.74 ,$850.06 
6/25/24,$855.51 ,1675700,$849.32 ,$855.69 ,$845.00 
6/24/24,$848.16 ,1722886,$850.00 ,$850.63 ,$841.51 
6/21/24,$848.31 ,3852859,$866.64 ,$866.97 ,$847.65 
6/20/24,$862.44 ,1944601,$871.31 ,$873.85 ,$860.56 
6/18/24,$870.75 ,1763802,$868.00 ,$873.96 ,$867.70 
6/17/24,$867.91 ,1904926,$854.49 ,$870.56 ,$853.37 
6/14/24,$855.67 ,1395485,$843.42 ,$856.18 ,$841.91 
6/13/24,$845.96 ,1322381,$847.81 ,$847.81 ,$837.55 
6/12/24,$847.81 ,1838255,$852.31 ,$855.74 ,$843.61 
